theme,size,A_symbols,B_symbols,top_outliers
Metals_Mining_Materials_and_Chemicals,12,"HEG, HINDALCO, JSWSTEEL, TATASTEEL","AIAENG, APLAPOLLO, GMDCLTD, HINDCOPPER","AIAENG, HINDCOPPER, GMDCLTD"
Lending_Insurance_Diversified_Financials,11,"CHOLAFIN, MANAPPURAM, SBILIFE","BAJFINANCE, SHRIRAMFIN, STAR","STAR, SHRIRAMFIN, BAJFINANCE"
Industrial_Tech_EMS_and_Power_Equipment,10,"GVT&D, SENORES, WAAREEENER","ADANIPOWER, AVALON, MTARTECH","MTARTECH, ADANIPOWER, AVALON"
Banking_Universal_and_Retail,9,"AXISBANK, FEDERALBNK, INDIANB","CANBK, IDFCFIRSTB, PNB","IDFCFIRSTB, CANBK, PNB"
Auto_OEM_Ancillaries_and_Mobility_Manufacturing,8,"FIEMIND, LUMAXTECH","CRAFTSMAN, MSUMI","MSUMI, CRAFTSMAN, AVL"
Healthcare_Pharma_Diagnostics_and_HealthTech,8,"SAILIFE, THYROCARE","ACUTAAS, METROPOLIS","ACUTAAS, METROPOLIS, ASTERDM"
Alcobev_and_Premium_Discretionary,7,"RADICO, TITAN","ETHOSLTD, THANGAMAYL","ETHOSLTD, THANGAMAYL, ABDL"
Capital_Markets_Wealth_Asset_Platforms,6,"BSE, MCX","IIFL, MFSL","IIFL, MFSL, 360ONE"
Tech_Telecom_and_Digital_Platforms,6,"BHARTIARTL, COFORGE","IDEA, PAYTM","IDEA, PAYTM, ETERNAL"
Transport_Logistics_and_Travel_Platforms,5,"ADANIPORTS, IXIGO","DELHIVERY, GESHIP","GESHIP, DELHIVERY, CARTRADE"
